meter_name,read_at,unit,value
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/04/2020 00:00:00 +1100,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/04/2020 00:00:00 +1100,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/04/2020 00:00:00 +1100,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/04/2020 00:00:00 +1100,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/04/2020 00:00:00 +1100,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,08/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,09/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,10/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,11/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,12/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,13/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,14/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,15/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,16/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,17/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,18/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,19/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,20/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,21/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,22/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,23/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/04/2020 00:00:00 +1000,,
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/04/2020 00:00:00 +1000,,
