dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1609459200,2021-01-01 00:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,295.68,295.26,293.71,297.95,1018,,,64,3.1,70,,,,,0,800,Clear,sky is clear,01d
1609462800,2021-01-01 01:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,297.12,296.19,293.983,299.85,1017,,,57,3.6,60,,,,,0,800,Clear,sky is clear,01d
1609466400,2021-01-01 02:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,298.38,297.81,296.108,302.59,1016,,,53,3.1,60,,,,,79,803,Clouds,broken clouds,04d
1609470000,2021-01-01 03:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,298.79,297.57,296.108,303.15,1016,,,49,3.6,60,,,,,79,803,Clouds,broken clouds,04d
1609473600,2021-01-01 04:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,297.53,296.28,293.65,301.48,1015,,,49,3.1,90,,,,,79,803,Clouds,broken clouds,04d
1609477200,2021-01-01 05:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,298.05,297.95,292.75,300.75,1015,,,62,3.6,150,,,,,0,800,Clear,sky is clear,01d
1609480800,2021-01-01 06:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,297.99,298.78,293.05,301.48,1013,,,64,2.6,190,,,,,0,800,Clear,sky is clear,01d
1609484400,2021-01-01 07:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,297.21,294.76,292.59,300.93,1013,,,52,5.1,120,,,,,0,800,Clear,sky is clear,01d
1609488000,2021-01-01 08:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,297.23,294.79,292.316,301.48,1013,,,52,5.1,110,0.21,,,,68,500,Rain,light rain,10d
1609491600,2021-01-01 09:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,296.53,294.61,291.95,299.82,1013,,,56,4.6,100,0.21,,,,68,500,Rain,light rain,10d
1609495200,2021-01-01 10:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,294.94,293.14,291.15,298.71,1013,,,59,4.1,90,0.21,,,,68,500,Rain,light rain,10n
1609498800,2021-01-01 11:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,293.66,292.14,291.15,295.15,1014,,,63,3.6,100,,,,,0,800,Clear,sky is clear,01n
1609502400,2021-01-01 12:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,292.8,292.03,290.37,295.37,1014,,,67,2.6,90,,,,,0,800,Clear,sky is clear,01n
1609506000,2021-01-01 13:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,292.03,292.43,289.82,294.26,1013,,,71,1,150,,,,,0,800,Clear,sky is clear,01n
1609509600,2021-01-01 14:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,291.45,291.94,289.26,293.15,1013,,,75,1,130,,,,,26,802,Clouds,scattered clouds,03n
1609513200,2021-01-01 15:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,290.94,291.82,288.95,292.59,1013,,,78,0.5,80,,,,,26,802,Clouds,scattered clouds,03n
1609516800,2021-01-01 16:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,290.41,291.09,288.65,292.04,1012,,,83,1,180,,,,,26,802,Clouds,scattered clouds,03n
1609520400,2021-01-01 17:00:00 +0000 UTC,39600,Waurn Ponds,-38.208813,144.270915,290.18,291.26,288.35,292.04,1012,,,85,0.5,170,,,,,0,800,Clear,sky is clear,01n
